number,Year,Season,Day of week,Station,Market Share_total,Number
64.0,2018.0,Winter,Wednesday,Unis TV+,304.0000000000001,920.0
65.0,2018.0,Winter,Wednesday,ARTV+,653.5000000000003,458.0
66.0,2018.0,Winter,Thursday,V Total,2136.200000000002,451.0
67.0,2018.0,Winter,Thursday,SRC Total,6935.1999999999925,710.0
68.0,2018.0,Winter,Thursday,TVA Total,8175.5999999999985,432.0
69.0,2018.0,Winter,Thursday,TQ Total,3156.8999999999983,865.0
70.0,2018.0,Winter,Thursday,RDS+,665.8000000000012,345.0
71.0,2018.0,Winter,Thursday,"MusiquePlus+ (retired Aug 25, 2019)",687.0999999999997,529.0
72.0,2018.0,Winter,Thursday,Meteomedia+,103.69999999999987,204.0
73.0,2018.0,Winter,Thursday,RDS2+,196.8999999999997,382.0
74.0,2018.0,Winter,Thursday,LCN+,1887.4000000000003,334.0
75.0,2018.0,Winter,Thursday,TV5+,724.7999999999998,599.0
76.0,2018.0,Winter,Thursday,Canal Vie+,894.5000000000011,511.0
77.0,2018.0,Winter,Thursday,Evasion+,286.2000000000002,449.0
78.0,2018.0,Winter,Thursday,Historia+,934.3999999999999,620.0
79.0,2018.0,Winter,Thursday,MAX+,765.6999999999999,545.0
80.0,2018.0,Winter,Thursday,RDI+,2843.8,765.0
81.0,2018.0,Winter,Thursday,Series++,1438.0999999999997,450.0
82.0,2018.0,Winter,Thursday,Z+,766.0000000000007,557.0
83.0,2018.0,Winter,Thursday,Teletoon Fr.+,1792.400000000004,1082.0
84.0,2018.0,Winter,Thursday,Canal D+,859.6000000000003,506.0
85.0,2018.0,Winter,Thursday,VRAK+,355.29999999999956,475.0
86.0,2018.0,Winter,Thursday,Unis TV+,367.7000000000006,886.0
87.0,2018.0,Winter,Thursday,ARTV+,700.9000000000003,483.0
88.0,2018.0,Winter,Friday,V Total,2044.900000000002,436.0
89.0,2018.0,Winter,Friday,SRC Total,5771.899999999998,683.0
90.0,2018.0,Winter,Friday,TVA Total,8601.100000000013,437.0
91.0,2018.0,Winter,Friday,TQ Total,3264.499999999996,827.0
92.0,2018.0,Winter,Friday,RDS+,552.5000000000001,348.0
93.0,2018.0,Winter,Friday,"MusiquePlus+ (retired Aug 25, 2019)",642.1000000000013,584.0
94.0,2018.0,Winter,Friday,Meteomedia+,83.49999999999994,204.0
95.0,2018.0,Winter,Friday,RDS2+,234.7999999999998,371.0
96.0,2018.0,Winter,Friday,LCN+,1545.4999999999995,308.0
97.0,2018.0,Winter,Friday,TV5+,683.6999999999994,615.0
98.0,2018.0,Winter,Friday,Canal Vie+,1073.4000000000008,531.0
99.0,2018.0,Winter,Friday,Evasion+,321.3,435.0
100.0,2018.0,Winter,Friday,Historia+,1326.8000000000002,604.0
101.0,2018.0,Winter,Friday,MAX+,909.3000000000003,551.0
102.0,2018.0,Winter,Friday,RDI+,2777.699999999997,793.0
103.0,2018.0,Winter,Friday,Series++,1451.6000000000001,412.0
104.0,2018.0,Winter,Friday,Z+,673.0000000000002,608.0
105.0,2018.0,Winter,Friday,Teletoon Fr.+,1934.1000000000013,1051.0
106.0,2018.0,Winter,Friday,Canal D+,806.8999999999993,466.0
107.0,2018.0,Winter,Friday,VRAK+,292.39999999999975,457.0
108.0,2018.0,Winter,Friday,Unis TV+,347.2000000000003,1016.0
109.0,2018.0,Winter,Friday,ARTV+,736.2000000000004,459.0
110.0,2018.0,Winter,Saturday,V Total,1442.7999999999995,329.0
111.0,2018.0,Winter,Saturday,SRC Total,6223.800000000004,755.0
112.0,2018.0,Winter,Saturday,TVA Total,5741.900000000002,359.0
113.0,2018.0,Winter,Saturday,TQ Total,4140.799999999998,786.0
114.0,2018.0,Winter,Saturday,RDS+,530.2000000000003,321.0
115.0,2018.0,Winter,Saturday,"MusiquePlus+ (retired Aug 25, 2019)",470.10000000000036,558.0
116.0,2018.0,Winter,Saturday,Meteomedia+,73.49999999999996,204.0
117.0,2018.0,Winter,Saturday,RDS2+,274.1999999999998,386.0
118.0,2018.0,Winter,Saturday,LCN+,1770.6000000000004,431.0
119.0,2018.0,Winter,Saturday,TV5+,537.9000000000002,551.0
120.0,2018.0,Winter,Saturday,Canal Vie+,1195.6999999999991,575.0
121.0,2018.0,Winter,Saturday,Evasion+,288.69999999999993,451.0
122.0,2018.0,Winter,Saturday,Historia+,1518.0000000000014,682.0
123.0,2018.0,Winter,Saturday,MAX+,602.7999999999998,378.0
124.0,2018.0,Winter,Saturday,RDI+,2046.6000000000001,772.0
125.0,2018.0,Winter,Saturday,Series++,1359.5999999999983,421.0
126.0,2018.0,Winter,Saturday,Z+,704.7,584.0
127.0,2018.0,Winter,Saturday,Teletoon Fr.+,2078.200000000001,1110.0
128.0,2018.0,Winter,Saturday,Canal D+,1122.7000000000003,521.0
129.0,2018.0,Winter,Saturday,VRAK+,181.29999999999976,396.0
130.0,2018.0,Winter,Saturday,Unis TV+,352.8999999999999,868.0
131.0,2018.0,Winter,Saturday,ARTV+,403.2999999999997,443.0
132.0,2018.0,Winter,Sunday,V Total,1529.6999999999996,336.0
133.0,2018.0,Winter,Sunday,SRC Total,5826.799999999999,625.0
134.0,2018.0,Winter,Sunday,TVA Total,7055.9000000000015,350.0
135.0,2018.0,Winter,Sunday,TQ Total,3756.7999999999975,740.0
136.0,2018.0,Winter,Sunday,RDS+,762.8000000000003,395.0
137.0,2018.0,Winter,Sunday,"MusiquePlus+ (retired Aug 25, 2019)",499.80000000000064,597.0
138.0,2018.0,Winter,Sunday,Meteomedia+,73.39999999999996,204.0
139.0,2018.0,Winter,Sunday,RDS2+,190.69999999999985,337.0
140.0,2018.0,Winter,Sunday,LCN+,1525.6999999999996,430.0
141.0,2018.0,Winter,Sunday,TV5+,559.9999999999999,567.0
142.0,2018.0,Winter,Sunday,Canal Vie+,1109.8000000000004,576.0
143.0,2018.0,Winter,Sunday,Evasion+,218.19999999999965,441.0
144.0,2018.0,Winter,Sunday,Historia+,935.1000000000001,565.0
145.0,2018.0,Winter,Sunday,MAX+,521.8000000000002,459.0
146.0,2018.0,Winter,Sunday,RDI+,2019.299999999999,735.0
147.0,2018.0,Winter,Sunday,Series++,1344.0,420.0
148.0,2018.0,Winter,Sunday,Z+,661.5000000000009,585.0
149.0,2018.0,Winter,Sunday,Teletoon Fr.+,2122.6000000000004,1138.0
150.0,2018.0,Winter,Sunday,Canal D+,1176.7999999999993,539.0
151.0,2018.0,Winter,Sunday,VRAK+,212.29999999999993,428.0
152.0,2018.0,Winter,Sunday,Unis TV+,258.89999999999935,930.0
153.0,2018.0,Winter,Sunday,ARTV+,309.7000000000001,456.0
154.0,2018.0,Winter,Wednesday,PYC Online Stream Fr CBC-8+,0.0,144.0
155.0,2018.0,Winter,Wednesday,PYC Online Stream Fr CBC-9+,0.0,144.0
156.0,2018.0,Winter,Thursday,PYC Online Stream Fr CBC-8+,0.0,144.0
157.0,2018.0,Winter,Thursday,PYC Online Stream Fr CBC-9+,0.0,144.0
158.0,2018.0,Winter,Friday,PYC Online Stream Fr CBC-8+,0.0,144.0
159.0,2018.0,Winter,Friday,PYC Online Stream Fr CBC-9+,0.0,144.0
160.0,2018.0,Winter,Saturday,PYC Online Stream Fr CBC-8+,0.0,144.0
161.0,2018.0,Winter,Saturday,PYC Online Stream Fr CBC-9+,0.0,144.0
162.0,2018.0,Winter,Sunday,PYC Online Stream Fr CBC-8+,0.2,144.0
163.0,2018.0,Winter,Sunday,PYC Online Stream Fr CBC-9+,1.9,144.0
164.0,2018.0,Winter,Monday,PYC Online Stream Fr CBC-8+,0.0,96.0
165.0,2018.0,Winter,Monday,PYC Online Stream Fr CBC-9+,0.4,96.0
166.0,2018.0,Winter,Tuesday,PYC Online Stream Fr CBC-8+,0.0,96.0
167.0,2018.0,Winter,Tuesday,PYC Online Stream Fr CBC-9+,0.0,96.0
168.0,2018.0,Spring,Monday,V Total,840.3000000000004,174.0
169.0,2018.0,Spring,Monday,SRC Total,2021.1000000000004,294.0
170.0,2018.0,Spring,Monday,TVA Total,3239.5,160.0
171.0,2018.0,Spring,Monday,TQ Total,947.5999999999992,295.0
172.0,2018.0,Spring,Monday,RDS+,77.49999999999996,103.0
173.0,2018.0,Spring,Monday,"MusiquePlus+ (retired Aug 25, 2019)",189.2999999999999,223.0
174.0,2018.0,Spring,Monday,Meteomedia+,22.700000000000006,72.0
175.0,2018.0,Spring,Monday,RDS2+,38.60000000000001,101.0
176.0,2018.0,Spring,Monday,LCN+,751.6000000000001,115.0
177.0,2018.0,Spring,Monday,TV5+,252.59999999999994,208.0
178.0,2018.0,Spring,Monday,Canal Vie+,637.7000000000002,186.0
179.0,2018.0,Spring,Monday,Evasion+,78.90000000000003,153.0
180.0,2018.0,Spring,Monday,Historia+,322.0999999999999,182.0
181.0,2018.0,Spring,Monday,MAX+,213.20000000000007,197.0
182.0,2018.0,Spring,Monday,RDI+,904.1,260.0
183.0,2018.0,Spring,Monday,Series++,494.4,150.0
184.0,2018.0,Spring,Monday,Z+,258.4999999999998,210.0
185.0,2018.0,Spring,Monday,Teletoon Fr.+,910.8,402.0
186.0,2018.0,Spring,Monday,Canal D+,342.1999999999999,182.0
187.0,2018.0,Spring,Monday,VRAK+,90.29999999999993,161.0
188.0,2018.0,Spring,Monday,Unis TV+,126.49999999999991,350.0
189.0,2018.0,Spring,Monday,ARTV+,139.89999999999998,161.0
190.0,2018.0,Spring,Tuesday,V Total,666.6000000000003,156.0
191.0,2018.0,Spring,Tuesday,SRC Total,1736.1000000000001,296.0
192.0,2018.0,Spring,Tuesday,TVA Total,2993.199999999999,145.0
193.0,2018.0,Spring,Tuesday,TQ Total,895.3999999999996,319.0
194.0,2018.0,Spring,Tuesday,RDS+,88.80000000000001,103.0
195.0,2018.0,Spring,Tuesday,"MusiquePlus+ (retired Aug 25, 2019)",164.6999999999999,217.0
196.0,2018.0,Spring,Tuesday,Meteomedia+,20.399999999999995,72.0
197.0,2018.0,Spring,Tuesday,RDS2+,41.30000000000001,122.0
198.0,2018.0,Spring,Tuesday,LCN+,725.2,111.0
199.0,2018.0,Spring,Tuesday,TV5+,300.50000000000006,196.0
200.0,2018.0,Spring,Tuesday,Canal Vie+,502.4999999999998,180.0
201.0,2018.0,Spring,Tuesday,Evasion+,111.39999999999995,165.0
202.0,2018.0,Spring,Tuesday,Historia+,477.3000000000001,198.0
203.0,2018.0,Spring,Tuesday,MAX+,235.20000000000007,178.0
204.0,2018.0,Spring,Tuesday,RDI+,933.6000000000005,271.0
205.0,2018.0,Spring,Tuesday,Series++,687.6999999999999,150.0
206.0,2018.0,Spring,Tuesday,Z+,213.0,202.0
207.0,2018.0,Spring,Tuesday,Teletoon Fr.+,797.3000000000003,384.0
208.0,2018.0,Spring,Tuesday,Canal D+,298.8,165.0
209.0,2018.0,Spring,Tuesday,VRAK+,117.1999999999999,168.0
210.0,2018.0,Spring,Tuesday,Unis TV+,131.39999999999984,379.0
211.0,2018.0,Spring,Tuesday,ARTV+,194.89999999999992,166.0
212.0,2018.0,Spring,Wednesday,V Total,655.6999999999999,156.0
213.0,2018.0,Spring,Wednesday,SRC Total,1825.0000000000002,297.0
214.0,2018.0,Spring,Wednesday,TVA Total,3382.3,168.0
215.0,2018.0,Spring,Wednesday,TQ Total,911.4000000000003,323.0
216.0,2018.0,Spring,Wednesday,RDS+,82.19999999999999,106.0
217.0,2018.0,Spring,Wednesday,"MusiquePlus+ (retired Aug 25, 2019)",201.0,188.0
218.0,2018.0,Spring,Wednesday,Meteomedia+,24.999999999999996,72.0
219.0,2018.0,Spring,Wednesday,RDS2+,97.39999999999995,130.0
220.0,2018.0,Spring,Wednesday,LCN+,725.0000000000003,110.0
221.0,2018.0,Spring,Wednesday,TV5+,311.3,215.0
222.0,2018.0,Spring,Wednesday,Canal Vie+,412.09999999999997,180.0
223.0,2018.0,Spring,Wednesday,Evasion+,105.39999999999998,162.0
224.0,2018.0,Spring,Wednesday,Historia+,380.99999999999983,234.0
225.0,2018.0,Spring,Wednesday,MAX+,188.89999999999998,181.0
226.0,2018.0,Spring,Wednesday,RDI+,1076.199999999999,282.0
227.0,2018.0,Spring,Wednesday,Series++,617.9999999999999,144.0
228.0,2018.0,Spring,Wednesday,Z+,247.7,214.0
229.0,2018.0,Spring,Wednesday,Teletoon Fr.+,794.3999999999995,384.0
230.0,2018.0,Spring,Wednesday,Canal D+,297.1999999999999,180.0
231.0,2018.0,Spring,Wednesday,VRAK+,98.0,180.0
232.0,2018.0,Spring,Wednesday,Unis TV+,100.59999999999998,361.0
233.0,2018.0,Spring,Wednesday,ARTV+,196.19999999999993,178.0
234.0,2018.0,Spring,Thursday,V Total,745.5999999999998,156.0
235.0,2018.0,Spring,Thursday,SRC Total,1844.5999999999983,292.0
236.0,2018.0,Spring,Thursday,TVA Total,2837.5999999999995,149.0
237.0,2018.0,Spring,Thursday,TQ Total,761.5000000000005,317.0
238.0,2018.0,Spring,Thursday,RDS+,112.20000000000006,112.0
239.0,2018.0,Spring,Thursday,"MusiquePlus+ (retired Aug 25, 2019)",194.49999999999994,189.0
240.0,2018.0,Spring,Thursday,Meteomedia+,46.800000000000004,72.0
241.0,2018.0,Spring,Thursday,RDS2+,96.39999999999999,125.0
242.0,2018.0,Spring,Thursday,LCN+,740.1999999999998,111.0
243.0,2018.0,Spring,Thursday,TV5+,305.5,207.0
244.0,2018.0,Spring,Thursday,Canal Vie+,535.6999999999998,191.0
245.0,2018.0,Spring,Thursday,Evasion+,107.89999999999993,172.0
246.0,2018.0,Spring,Thursday,Historia+,388.50000000000006,210.0
247.0,2018.0,Spring,Thursday,MAX+,236.29999999999995,185.0
248.0,2018.0,Spring,Thursday,RDI+,952.3999999999999,268.0
249.0,2018.0,Spring,Thursday,Series++,455.7000000000004,162.0
250.0,2018.0,Spring,Thursday,Z+,196.89999999999992,197.0
251.0,2018.0,Spring,Thursday,Teletoon Fr.+,791.5000000000002,384.0
252.0,2018.0,Spring,Thursday,Canal D+,376.9999999999999,179.0
253.0,2018.0,Spring,Thursday,VRAK+,113.59999999999998,168.0
254.0,2018.0,Spring,Thursday,Unis TV+,119.29999999999998,326.0
255.0,2018.0,Spring,Thursday,ARTV+,207.59999999999997,168.0
256.0,2018.0,Spring,Friday,V Total,669.1999999999998,152.0
257.0,2018.0,Spring,Friday,SRC Total,1495.1000000000004,294.0
258.0,2018.0,Spring,Friday,TVA Total,3096.6000000000004,148.0
259.0,2018.0,Spring,Friday,TQ Total,967.9000000000002,351.0
260.0,2018.0,Spring,Friday,RDS+,87.3,119.0
261.0,2018.0,Spring,Friday,"MusiquePlus+ (retired Aug 25, 2019)",148.19999999999996,203.0
262.0,2018.0,Spring,Friday,Meteomedia+,26.10000000000001,72.0
263.0,2018.0,Spring,Friday,RDS2+,69.39999999999998,126.0
264.0,2018.0,Spring,Friday,LCN+,587.1999999999998,99.0
265.0,2018.0,Spring,Friday,TV5+,303.8000000000002,199.0
266.0,2018.0,Spring,Friday,Canal Vie+,474.9,194.0
267.0,2018.0,Spring,Friday,Evasion+,95.09999999999998,166.0
268.0,2018.0,Spring,Friday,Historia+,452.29999999999995,218.0
269.0,2018.0,Spring,Friday,MAX+,227.1,183.0
270.0,2018.0,Spring,Friday,RDI+,903.6,279.0
271.0,2018.0,Spring,Friday,Series++,439.3999999999999,144.0
272.0,2018.0,Spring,Friday,Z+,194.2,214.0
273.0,2018.0,Spring,Friday,Teletoon Fr.+,864.5000000000001,373.0
274.0,2018.0,Spring,Friday,Canal D+,294.89999999999986,165.0
275.0,2018.0,Spring,Friday,VRAK+,116.4,162.0
276.0,2018.0,Spring,Friday,Unis TV+,145.3999999999998,366.0
277.0,2018.0,Spring,Friday,ARTV+,186.20000000000002,162.0
278.0,2018.0,Spring,Saturday,V Total,425.5,119.0
279.0,2018.0,Spring,Saturday,SRC Total,1960.2000000000007,340.0
280.0,2018.0,Spring,Saturday,TVA Total,2363.9,135.0
281.0,2018.0,Spring,Saturday,TQ Total,1288.2999999999997,301.0
282.0,2018.0,Spring,Saturday,RDS+,125.69999999999996,110.0
283.0,2018.0,Spring,Saturday,"MusiquePlus+ (retired Aug 25, 2019)",107.60000000000001,192.0
284.0,2018.0,Spring,Saturday,Meteomedia+,19.0,72.0
285.0,2018.0,Spring,Saturday,RDS2+,83.79999999999997,137.0
286.0,2018.0,Spring,Saturday,LCN+,734.9999999999999,150.0
287.0,2018.0,Spring,Saturday,TV5+,208.29999999999995,189.0
288.0,2018.0,Spring,Saturday,Canal Vie+,440.6000000000001,207.0
289.0,2018.0,Spring,Saturday,Evasion+,129.69999999999993,168.0
290.0,2018.0,Spring,Saturday,Historia+,692.6999999999998,254.0
291.0,2018.0,Spring,Saturday,MAX+,224.79999999999995,136.0
292.0,2018.0,Spring,Saturday,RDI+,876.0000000000007,265.0
293.0,2018.0,Spring,Saturday,Series++,386.99999999999994,150.0
294.0,2018.0,Spring,Saturday,Z+,206.90000000000006,210.0
295.0,2018.0,Spring,Saturday,Teletoon Fr.+,935.5999999999996,394.0
296.0,2018.0,Spring,Saturday,Canal D+,384.8999999999999,180.0
297.0,2018.0,Spring,Saturday,VRAK+,69.49999999999999,135.0
298.0,2018.0,Spring,Saturday,Unis TV+,114.7,293.0
299.0,2018.0,Spring,Saturday,ARTV+,84.99999999999996,178.0
300.0,2018.0,Spring,Sunday,V Total,499.5999999999998,134.0
301.0,2018.0,Spring,Sunday,SRC Total,1984.9999999999984,298.0
302.0,2018.0,Spring,Sunday,TVA Total,2721.399999999999,135.0
303.0,2018.0,Spring,Sunday,TQ Total,1092.3999999999992,280.0
304.0,2018.0,Spring,Sunday,RDS+,178.70000000000005,105.0
305.0,2018.0,Spring,Sunday,"MusiquePlus+ (retired Aug 25, 2019)",132.1,220.0
306.0,2018.0,Spring,Sunday,Meteomedia+,15.499999999999998,72.0
307.0,2018.0,Spring,Sunday,RDS2+,69.30000000000003,83.0
308.0,2018.0,Spring,Sunday,LCN+,564.1,157.0
309.0,2018.0,Spring,Sunday,TV5+,204.59999999999994,198.0
310.0,2018.0,Spring,Sunday,Canal Vie+,573.3999999999997,215.0
311.0,2018.0,Spring,Sunday,Evasion+,120.90000000000008,152.0
312.0,2018.0,Spring,Sunday,Historia+,311.29999999999995,183.0
313.0,2018.0,Spring,Sunday,MAX+,163.19999999999993,159.0
314.0,2018.0,Spring,Sunday,RDI+,678.4999999999994,258.0
315.0,2018.0,Spring,Sunday,Series++,396.2999999999999,150.0
316.0,2018.0,Spring,Sunday,Z+,205.69999999999985,202.0
317.0,2018.0,Spring,Sunday,Teletoon Fr.+,1178.2999999999995,408.0
318.0,2018.0,Spring,Sunday,Canal D+,472.49999999999994,183.0
319.0,2018.0,Spring,Sunday,VRAK+,83.39999999999999,152.0
320.0,2018.0,Spring,Sunday,Unis TV+,138.89999999999986,306.0
321.0,2018.0,Spring,Sunday,ARTV+,92.30000000000004,151.0
322.0,2018.0,Summer,Monday,V Total,1507.6000000000004,388.0
323.0,2018.0,Summer,Monday,SRC Total,3797.8000000000034,602.0
324.0,2018.0,Summer,Monday,TVA Total,7622.900000000005,376.0
325.0,2018.0,Summer,Monday,TQ Total,2085.6999999999985,637.0
326.0,2018.0,Summer,Monday,RDS+,356.0000000000001,214.0
327.0,2018.0,Summer,Monday,"MusiquePlus+ (retired Aug 25, 2019)",375.5,400.0
328.0,2018.0,Summer,Monday,Meteomedia+,75.0,156.0
329.0,2018.0,Summer,Monday,RDS2+,108.9999999999999,317.0
330.0,2018.0,Summer,Monday,LCN+,1444.0999999999985,235.0
331.0,2018.0,Summer,Monday,TV5+,667.4000000000009,452.0
332.0,2018.0,Summer,Monday,Canal Vie+,732.7000000000003,379.0
333.0,2018.0,Summer,Monday,Evasion+,158.19999999999987,350.0
334.0,2018.0,Summer,Monday,Historia+,695.3000000000001,464.0
335.0,2018.0,Summer,Monday,MAX+,506.49999999999994,402.0
336.0,2018.0,Summer,Monday,RDI+,2325.400000000001,582.0
337.0,2018.0,Summer,Monday,Series++,1183.3999999999985,324.0
338.0,2018.0,Summer,Monday,Z+,429.3000000000002,470.0
339.0,2018.0,Summer,Monday,Teletoon Fr.+,1690.4,814.0
340.0,2018.0,Summer,Monday,Canal D+,882.5,416.0
341.0,2018.0,Summer,Monday,VRAK+,211.39999999999986,302.0
342.0,2018.0,Summer,Monday,Unis TV+,294.59999999999957,659.0
343.0,2018.0,Summer,Monday,ARTV+,387.90000000000003,357.0
344.0,2018.0,Summer,Tuesday,V Total,1470.7999999999993,372.0
345.0,2018.0,Summer,Tuesday,SRC Total,4018.999999999997,611.0
346.0,2018.0,Summer,Tuesday,TVA Total,7132.700000000006,335.0
347.0,2018.0,Summer,Tuesday,TQ Total,2048.300000000001,689.0
348.0,2018.0,Summer,Tuesday,RDS+,367.3000000000001,234.0
349.0,2018.0,Summer,Tuesday,"MusiquePlus+ (retired Aug 25, 2019)",386.19999999999993,424.0
350.0,2018.0,Summer,Tuesday,Meteomedia+,82.20000000000003,156.0
351.0,2018.0,Summer,Tuesday,RDS2+,131.09999999999994,313.0
352.0,2018.0,Summer,Tuesday,LCN+,1398.9999999999995,231.0
353.0,2018.0,Summer,Tuesday,TV5+,594.6000000000004,469.0
354.0,2018.0,Summer,Tuesday,Canal Vie+,658.8999999999996,390.0
355.0,2018.0,Summer,Tuesday,Evasion+,209.40000000000003,375.0
356.0,2018.0,Summer,Tuesday,Historia+,782.6000000000007,407.0
357.0,2018.0,Summer,Tuesday,MAX+,551.0,398.0
358.0,2018.0,Summer,Tuesday,RDI+,2315.7000000000003,602.0
359.0,2018.0,Summer,Tuesday,Series++,1416.6999999999998,322.0
360.0,2018.0,Summer,Tuesday,Z+,498.49999999999983,396.0
361.0,2018.0,Summer,Tuesday,Teletoon Fr.+,1620.5000000000002,774.0
362.0,2018.0,Summer,Tuesday,Canal D+,791.1999999999995,413.0
363.0,2018.0,Summer,Tuesday,VRAK+,224.0999999999998,315.0
364.0,2018.0,Summer,Tuesday,Unis TV+,334.20000000000044,710.0
365.0,2018.0,Summer,Tuesday,ARTV+,471.80000000000007,363.0
366.0,2018.0,Summer,Wednesday,V Total,1495.6999999999996,365.0
367.0,2018.0,Summer,Wednesday,SRC Total,4194.800000000002,623.0
368.0,2018.0,Summer,Wednesday,TVA Total,7681.400000000005,368.0
369.0,2018.0,Summer,Wednesday,TQ Total,1976.5,675.0
370.0,2018.0,Summer,Wednesday,RDS+,371.6,239.0
371.0,2018.0,Summer,Wednesday,"MusiquePlus+ (retired Aug 25, 2019)",430.80000000000047,374.0
372.0,2018.0,Summer,Wednesday,Meteomedia+,87.10000000000002,156.0
373.0,2018.0,Summer,Wednesday,RDS2+,140.0999999999999,315.0
374.0,2018.0,Summer,Wednesday,LCN+,1382.4999999999995,228.0
375.0,2018.0,Summer,Wednesday,TV5+,679.4000000000002,456.0
376.0,2018.0,Summer,Wednesday,Canal Vie+,764.7999999999997,399.0
377.0,2018.0,Summer,Wednesday,Evasion+,205.99999999999994,388.0
